"country","continent","year","lifeExp","gdpPercap"
"Japan","Asia",1952,63.03,3216.956347
"Japan","Asia",1957,65.5,4317.694365
"Japan","Asia",1962,68.73,6576.649461
"Japan","Asia",1967,71.43,9847.788607
"Japan","Asia",1972,73.42,14778.78636
"Japan","Asia",1977,75.38,16610.37701
"Japan","Asia",1982,77.11,19384.10571
"Japan","Asia",1987,78.67,22375.94189
"Japan","Asia",1992,79.36,26824.89511
"Japan","Asia",1997,80.69,28816.58499
"Japan","Asia",2002,82,28604.5919
"Japan","Asia",2007,82.603,31656.06806
"Malaysia","Asia",1952,48.463,1831.132894
"Malaysia","Asia",1957,52.102,1810.066992
"Malaysia","Asia",1962,55.737,2036.884944
"Malaysia","Asia",1967,59.371,2277.742396
"Malaysia","Asia",1972,63.01,2849.09478
"Malaysia","Asia",1977,65.256,3827.921571
"Malaysia","Asia",1982,68,4920.355951
"Malaysia","Asia",1987,69.5,5249.802653
"Malaysia","Asia",1992,70.693,7277.912802
"Malaysia","Asia",1997,71.938,10132.90964
"Malaysia","Asia",2002,73.044,10206.97794
"Malaysia","Asia",2007,74.241,12451.6558
"Singapore","Asia",1952,60.396,2315.138227
"Singapore","Asia",1957,63.179,2843.104409
"Singapore","Asia",1962,65.798,3674.735572
"Singapore","Asia",1967,67.946,4977.41854
"Singapore","Asia",1972,69.521,8597.756202
"Singapore","Asia",1977,70.795,11210.08948
"Singapore","Asia",1982,71.76,15169.16112
"Singapore","Asia",1987,73.56,18861.53081
"Singapore","Asia",1992,75.788,24769.8912
"Singapore","Asia",1997,77.158,33519.4766
"Singapore","Asia",2002,78.77,36023.1054
"Singapore","Asia",2007,79.972,47143.17964
"Thailand","Asia",1952,50.848,757.7974177
"Thailand","Asia",1957,53.63,793.5774148
"Thailand","Asia",1962,56.061,1002.199172
"Thailand","Asia",1967,58.285,1295.46066
"Thailand","Asia",1972,60.405,1524.358936
"Thailand","Asia",1977,62.494,1961.224635
"Thailand","Asia",1982,64.597,2393.219781
"Thailand","Asia",1987,66.084,2982.653773
"Thailand","Asia",1992,67.298,4616.896545
"Thailand","Asia",1997,67.521,5852.625497
"Thailand","Asia",2002,68.564,5913.187529
"Thailand","Asia",2007,70.616,7458.396327
